movieId,title,genres,year
118,Movie 118 (1989),Documentary|Thriller|War,1989
119,Movie 119 (1971),Comedy,1971
120,Movie 120 (1984),Sci-Fi|War,1984
121,Movie 121 (2012),Sci-Fi,2012
122,Movie 122 (2009),Mystery|Animation,2009
123,Movie 123 (2012),Thriller|Romance|Mystery,2012
124,Movie 124 (2014),Family|Sci-Fi,2014
125,Movie 125 (1996),Crime,1996
126,Movie 126 (2002),War,2002
127,Movie 127 (2015),Mystery,2015
128,Movie 128 (2000),Family|Thriller,2000
129,Movie 129 (2000),Family,2000
130,Movie 130 (2013),Fantasy|Action|Animation,2013
131,Movie 131 (1991),Horror,1991
132,Movie 132 (2009),Fantasy,2009
133,Movie 133 (1992),Mystery,1992
134,Movie 134 (2016),Comedy,2016
135,Movie 135 (1995),Fantasy|Documentary,1995
136,Movie 136 (1979),Drama|Crime,1979
137,Movie 137 (2012),Sci-Fi|Documentary|Animation,2012
138,Movie 138 (2017),War,2017
139,Movie 139 (2001),Family,2001
140,Movie 140 (2018),Fantasy|Sci-Fi|Comedy,2018
141,Movie 141 (2001),Horror|Romance|Sci-Fi,2001
142,Movie 142 (1973),Animation|Drama|Romance,1973
143,Movie 143 (1988),Thriller|Fantasy,1988
144,Movie 144 (1979),Family,1979
145,Movie 145 (2018),Documentary|Adventure,2018
146,Movie 146 (2001),Thriller|Mystery,2001
147,Movie 147 (1980),Documentary,1980
148,Movie 148 (1999),Documentary,1999
149,Movie 149 (2022),Family,2022
150,Movie 150 (1990),Sci-Fi,1990
151,Movie 151 (1997),Adventure,1997
152,Movie 152 (2005),Family|Drama,2005
153,Movie 153 (1972),Action,1972
154,Movie 154 (1979),Thriller|War|Action,1979
155,Movie 155 (2013),Family,2013
156,Movie 156 (1972),Romance|Animation,1972
157,Movie 157 (1974),Action|Crime,1974
158,Movie 158 (1982),Fantasy|Documentary|Animation,1982
159,Movie 159 (1979),Animation|Family|Adventure,1979
160,Movie 160 (2013),War|Mystery|Comedy,2013
161,Movie 161 (2010),Fantasy|Comedy|Crime,2010
162,Movie 162 (1981),Mystery|Horror,1981
163,Movie 163 (1984),Documentary|Mystery,1984
164,Movie 164 (1995),Mystery,1995
165,Movie 165 (2015),Crime|Mystery|Documentary,2015
166,Movie 166 (2013),Mystery,2013
167,Movie 167 (2005),Drama|Horror|Action,2005
168,Movie 168 (2011),Comedy,2011
169,Movie 169 (1993),Romance|Action|Thriller,1993
170,Movie 170 (1987),Fantasy,1987
171,Movie 171 (2000),Crime|Comedy|Romance,2000
172,Movie 172 (1990),Family,1990
173,Movie 173 (2020),Animation|Documentary,2020
174,Movie 174 (2016),Horror|Romance,2016
175,Movie 175 (1974),Adventure|Action|Crime,1974
176,Movie 176 (2003),Crime,2003
177,Movie 177 (2020),Mystery,2020
178,Movie 178 (1971),Comedy|Drama|War,1971
179,Movie 179 (1972),Sci-Fi|Animation|Family,1972
180,Movie 180 (2022),Drama|Crime,2022
181,Movie 181 (1972),Comedy,1972
182,Movie 182 (1976),Sci-Fi|Romance,1976
183,Movie 183 (2015),Romance|Action,2015
184,Movie 184 (2005),War|Animation|Family,2005
185,Movie 185 (2002),Crime|Fantasy|Romance,2002
186,Movie 186 (2014),Fantasy|Animation|Comedy,2014
187,Movie 187 (1994),Crime|Fantasy,1994
188,Movie 188 (2018),Adventure|Crime,2018
189,Movie 189 (2019),Action,2019
190,Movie 190 (2002),Romance,2002
191,Movie 191 (1994),Adventure|Comedy,1994
192,Movie 192 (2012),Documentary|Horror|Action,2012
193,Movie 193 (1980),Horror|Comedy,1980
194,Movie 194 (2019),Horror,2019
195,Movie 195 (1989),Animation,1989
196,Movie 196 (1988),Romance|Mystery,1988
197,Movie 197 (2000),Romance|Adventure|Horror,2000
198,Movie 198 (1971),Sci-Fi,1971
199,Movie 199 (2018),Thriller|Documentary,2018
200,Movie 200 (1984),Horror,1984
201,Movie 201 (1990),Mystery|Thriller|Documentary,1990
202,Movie 202 (2002),Thriller,2002
203,Movie 203 (1984),Horror,1984
204,Movie 204 (2009),Animation|Drama|Comedy,2009
205,Movie 205 (2019),Drama|Crime,2019
206,Movie 206 (1995),Romance|Fantasy,1995
207,Movie 207 (1977),Animation,1977
208,Movie 208 (2021),Mystery|Horror,2021
209,Movie 209 (1995),Thriller,1995
210,Movie 210 (2009),Mystery|Action|Animation,2009
211,Movie 211 (1992),Action,1992
212,Movie 212 (1993),Family|Crime|Mystery,1993
213,Movie 213 (1999),Romance,1999
214,Movie 214 (1994),Crime,1994
215,Movie 215 (1990),Documentary,1990
216,Movie 216 (2019),Fantasy|Romance,2019
217,Movie 217 (1981),Comedy,1981
218,Movie 218 (2001),Action|Romance,2001
219,Movie 219 (2008),Drama|Fantasy|Adventure,2008
220,Movie 220 (1971),Drama,1971
221,Movie 221 (2001),Adventure|Fantasy|Thriller,2001
222,Movie 222 (2023),Horror|Mystery|Adventure,2023
223,Movie 223 (1990),Romance|Sci-Fi,1990
224,Movie 224 (1983),Adventure|Family|Crime,1983
225,Movie 225 (1984),Crime|Fantasy,1984
226,Movie 226 (2021),Horror,2021
227,Movie 227 (2011),Action,2011
228,Movie 228 (2021),War|Comedy|Family,2021
229,Movie 229 (2012),Family|Adventure,2012
230,Movie 230 (1987),Mystery|Animation|Family,1987
231,Movie 231 (2018),Action|Family,2018
232,Movie 232 (2012),War|Documentary|Comedy,2012
233,Movie 233 (1988),Crime,1988
234,Movie 234 (1985),Family|Mystery,1985
235,Movie 235 (1995),Documentary|War|Comedy,1995
236,Movie 236 (1983),Thriller|Animation,1983
237,Movie 237 (1989),Crime|Thriller|Romance,1989
238,Movie 238 (2023),Drama|Horror,2023
239,Movie 239 (1991),Thriller,1991
240,Movie 240 (2016),Sci-Fi,2016
241,Movie 241 (2009),Action,2009
242,Movie 242 (2016),Action|Horror|Mystery,2016
243,Movie 243 (1994),Family|Fantasy|Thriller,1994
244,Movie 244 (2017),Animation|Adventure,2017
245,Movie 245 (2020),Adventure,2020
246,Movie 246 (1978),Family|Adventure,1978
247,Movie 247 (1985),Mystery|Thriller|Adventure,1985
248,Movie 248 (1995),Drama|Fantasy|Romance,1995
249,Movie 249 (2011),Crime|War,2011
250,Movie 250 (2000),War,2000
251,Movie 251 (2021),Family|Thriller,2021
252,Movie 252 (2006),Comedy|Drama|Adventure,2006
253,Movie 253 (1997),Family|Fantasy,1997
254,Movie 254 (1972),Drama,1972
255,Movie 255 (1992),Mystery|Animation,1992
256,Movie 256 (1972),Crime|Mystery,1972
257,Movie 257 (1970),Animation|Romance,1970
258,Movie 258 (1971),War|Romance,1971
259,Movie 259 (1979),Romance|Mystery|Crime,1979
260,Movie 260 (2002),Horror,2002
261,Movie 261 (1971),Drama,1971
262,Movie 262 (2007),Comedy|Action,2007
263,Movie 263 (1981),Sci-Fi,1981
264,Movie 264 (1981),Adventure|Horror|War,1981
265,Movie 265 (1977),Documentary,1977
266,Movie 266 (1996),Family,1996
267,Movie 267 (1983),Drama|War|Thriller,1983
268,Movie 268 (2015),Drama,2015
269,Movie 269 (1980),Sci-Fi,1980
270,Movie 270 (2005),Romance|Action|Family,2005
271,Movie 271 (1986),Drama|Sci-Fi,1986
272,Movie 272 (2004),Documentary|Romance,2004
273,Movie 273 (2003),Comedy,2003
274,Movie 274 (1998),Romance|Documentary|Drama,1998
275,Movie 275 (1991),Action|Documentary,1991
276,Movie 276 (1977),Horror,1977
277,Movie 277 (2008),Crime|Sci-Fi,2008
278,Movie 278 (2011),Family,2011
279,Movie 279 (1999),Romance|Crime,1999
280,Movie 280 (2008),Fantasy,2008
281,Movie 281 (2006),Comedy|Animation,2006
282,Movie 282 (1983),Family|Animation,1983
283,Movie 283 (1973),Fantasy,1973
284,Movie 284 (2001),Sci-Fi,2001
285,Movie 285 (1980),Adventure|Action,1980
286,Movie 286 (1980),Family,1980
287,Movie 287 (2023),Comedy|Horror,2023
288,Movie 288 (1989),War,1989
289,Movie 289 (2021),Mystery|Horror|Crime,2021
290,Movie 290 (1997),Family|Thriller|Comedy,1997
291,Movie 291 (1978),Documentary|Drama,1978
292,Movie 292 (1975),Sci-Fi|Animation|Adventure,1975
293,Movie 293 (2001),Mystery|Romance,2001
294,Movie 294 (2000),Mystery|Thriller,2000
295,Movie 295 (1978),Adventure,1978
296,Movie 296 (1979),Thriller|Action,1979
297,Movie 297 (2019),Crime|Documentary,2019
298,Movie 298 (1971),Thriller,1971
299,Movie 299 (1998),Adventure|Family|Fantasy,1998
300,Movie 300 (1996),Horror|Action|Fantasy,1996
